Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
134,69101 (37.6420166),0211626310,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Artificial Intelligence (AI),JEE(Main)-2024,AI to AI,AI
"",,,"Kupsarwadi , Nanded",and Data Science,,,
135,59926 (46.2084543),0211624210,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Engineering,,,
136,88046 (10.0424586),0211637210,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Electronics and,JEE(Main)-2024,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Telecommunication Engg,,,
137,77522 (27.8601519),0211691110,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Engineering(Artificial,,,
138,173961 (24.7657909),0211619110,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Civil Engineering,MHT-CET,AI to AI,AI
"",,,"Kupsarwadi , Nanded",,,,
139,187808 (3.8939900),0211629310,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Electrical Engineering,MHT-CET,AI to AI,AI
"",,,"Kupsarwadi , Nanded",,,,
140,29079 (72.5289287),0212724210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Computer Science and,JEE(Main)-2024,AI to AI,AI
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
141,48833 (56.0063988),0212792110,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Artificial Intelligence and,JEE(Main)-2024,AI to AI,AI
"",,,,Machine Learning,,,
