Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
47,60457 (45.7000902),0112737210,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Electronics and,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",Telecommunication Engg,,,
48,64071 (42.4544698),0112761210,01127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha,Mechanical Engineering,JEE,AI to AI,AI
"",,,"College of Engineering and Technology, Yavatmal",,,,
49,20086 (80.3927437),0112824210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
50,26043 (75.1570798),0112824610,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Information Technology,JEE,AI to AI,AI
51,49991 (55.0466064),0112829310,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Electrical Engineering,JEE,AI to AI,AI
52,38661 (64.3372475),0112837210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
53,40577 (62.8148079),0112891210,"01128 - Prof Ram Meghe College of Engineering  and Management, Badnera",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Data Science),,,
54,76872 (28.5249776),0113019110,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Civil Engineering,JEE,MH to AI,GNT2H
"",,,"Institute of Technology & Management Studies, Yelgaon",,,,
55,58118 (48.0088741),0113024210,01130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad,Computer Science and,JEE,AI to AI,AI
"",,,"Institute of Technology & Management Studies, Yelgaon",Engineering,,,
56,68644 (38.0581172),0118024210,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
57,149675 (50.0957604),0118026310,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Artificial Intelligence (AI),MHT-CET,MH to AI,GNT2H
"",,,,and Data Science,,,
58,88403 (8.9255354),0118026310,"01180 - Sanmati Engineering College, Sawargaon Barde, Washim",Artificial Intelligence (AI),JEE,MH to AI,LSTO
"",,,,and Data Science,,,
59,89225 (6.6246734),0118219110,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Civil Engineering,JEE,AI to AI,AI
60,180905 (15.5975889),0118261210,"01182 - Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Mechanical Engineering,MHT-CET,AI to AI,AI
61,57556 (48.2928590),0126519110,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Civil Engineering,JEE,AI to AI,AI
"",,,Shegaon.,,,,
62,14696 (85.3175964),0126524210,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Computer Science and,JEE,AI to AI,AI
"",,,Shegaon.,Engineering,,,
63,24140 (76.7504908),0126524610,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Information Technology,JEE,AI to AI,AI
"",,,Shegaon.,,,,
64,50574 (54.4646573),0126535610,"01265 - Mauli Group of Institutions, College of Engineering and Technology,",Electrical Engg[Electronics,JEE,AI to AI,AI
"",,,Shegaon.,and Power],,,
